Nome,E-mail,Telefone,CPF,Data de nascimento
João Carlos de Oliveira,joaooliveira@email.com,(11) 93456-1234,123.456.789-00,15/01/1990
Maria Luíza dos Santos,maria.santos@email.com,(21) 99876-5432,987.654.321-99,22/04/1982
Carlos Alberto Pereira,carlospereira@email.com,(41) 91234-5678,789.456.123-22,08/09/1975
Ana Beatriz Souza,ana.souza@email.com,(71) 93321-7654,456.789.123-33,12/12/1995
Rafael Mendes,rafael.mendes@email.com,(61) 95543-2198,321.654.987-44,30/06/1988
Fernanda Figueiredo,fernanda.figueiredo@email.com,(85) 96789-4321,654.123.789-55,17/08/1992
Lucas Silva,lucas.silva@email.com,(31) 98765-1234,123.789.654-66,05/11/1984
Camila Torres,camila.torres@email.com,(51) 97654-3210,321.987.654-77,25/02/1977
Gabriel Lima,gabriel.lima@email.com,(41) 96543-2109,987.321.456-88,29/07/1990
Juliana Oliveira,juliana.oliveira@email.com,(61) 94321-8765,654.987.321-99,19/03/1993
Pedro Almeida,pedro.almeida@email.com,(11) 95678-4321,321.654.123-00,09/10/1987
Renata Costa,renata.costa@email.com,(21) 93421-6543,987.123.456-11,15/05/1985
Vinícius Nascimento,vinicius.nascimento@email.com,(41) 93210-8765,456.321.789-22,03/07/1994
Débora Fernandes,debora.fernandes@email.com,(85) 96542-1783,789.456.123-33,23/01/1989
Hugo Moreira,hugo.moreira@email.com,(31) 94123-4567,654.321.987-44,11/04/1983
Patrícia Martins,patricia.martins@email.com,(61) 92345-6789,123.456.789-55,21/12/1992
Rodrigo Assis,rodrigo.assis@email.com,(51) 98761-2345,987.654.123-66,07/09/1980
Bruna Rocha,bruna.rocha@email.com,(21) 94653-2178,789.321.654-77,10/08/1978
Leandro Gonçalves,leandro.goncalves@email.com,(41) 96234-5678,321.987.456-88,28/06/1986
Fabiana Moraes,fabiana.moraes@email.com,(85) 95432-1098,654.789.321-99,12/09/1991
